POINT_X,POINT_Y,RASTERVALU
-95.95908449,48.39136739,29.32930374
-95.78920227,48.39136739,29.29408455
-95.61932006,48.39136739,29.24788666
-95.44943784,48.39136739,29.19305038
-95.27955562,48.39136739,29.13153076
-95.10967341,48.39136739,29.0301857
-94.93979119,48.39136739,28.95844269
-94.76990897,48.39136739,28.88455009
-94.60002676,48.39136739,28.80933571
-94.43014454,48.39136739,28.73349571
-94.26026232,48.39136739,28.65762138
-94.09038011,48.39136739,28.54486656
-93.92049789,48.39136739,26.00378227
-93.75061567,48.39136739,25.79626274
-93.58073346,48.39136739,25.59289742
-93.41085124,48.39136739,25.3944664
-93.24096902,48.39136739,25.10743141
-93.07108681,48.39136739,24.92382813
-92.90120459,48.39136739,24.74679947
-92.73132237,48.39136739,24.5765152
-92.56144016,48.39136739,24.41303062
-92.39155794,48.39136739,24.18036842
-92.22167572,48.39136739,25.60003471
-92.05179351,48.39136739,25.46129799
-91.88191129,48.39136739,25.3282032
-91.71202907,48.39136739,25.20013428
-91.54214686,48.39136739,25.01583672
-91.37226464,48.39136739,24.89692116
-91.20238242,48.39136739,24.78003311
-91.03250021,48.39136739,24.66409683
-90.86261799,48.39136739,24.54795647
-90.69273577,48.39136739,24.37064743
-90.52285356,48.39136739,24.24847221
-90.35297134,48.39136739,24.1215477
-90.18308912,48.39136739,23.98849487
-90.01320691,48.39136739,23.84794998
-89.84332469,48.39136739,23.62018204
-89.67344247,48.39136739,23.4552269
-89.50356026,48.39136739,23.27849007
-89.33367804,48.39136739,21.37252045
-89.16379582,48.39136739,19.89746475
-88.99391361,48.39136739,19.78745842
-88.82403139,48.39136739,19.5991993
-88.65414917,48.39136739,19.45866203
-88.48426696,48.39136739,19.30685997
-88.31438474,48.39136739,19.14480209
-88.14450252,48.39136739,18.97384453
-87.97462031,48.39136739,18.70456123
-87.80473809,48.39136739,18.51959991
-87.63485587,48.39136739,19.86557007
-87.46497366,48.39136739,19.64141655
-87.29509144,48.39136739,19.42281151
-87.12520922,48.39136739,19.11407089
-86.95532701,48.39136739,18.92691422
-86.78544479,48.39136739,18.75922585
-86.61556257,48.39136739,18.61453247
-86.44568036,48.39136739,18.49587059
-86.27579814,48.39136739,18.49292564
-86.10591592,48.39136739,19.25551033
-85.93603371,48.39136739,19.22115326
-85.76615149,48.39136739,19.22432137
-85.59626927,48.39136739,19.26329613
-85.42638706,48.39136739,19.38344002
-85.25650484,48.39136739,19.50014305
-85.08662262,48.39136739,19.64204407
-84.91674041,48.39136739,19.80543518
-84.74685819,48.39136739,19.98657799
-84.57697597,48.39136739,20.2836647
-84.40709376,48.39136739,20.49371338
-84.23721154,48.39136739,20.70978737
-84.06732932,48.39136739,20.92919922
-83.89744711,48.39136739,21.14960861
